               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.029098,             0.01643,            0.011455,             0.48323,             0.23024,             0.22482,              0.1144,            0.060138,            0.010127,            0.074621,             0.00208,             0.00208,             0.00208
                 122,            0.028943,            0.016032,            0.011263,              0.7389,             0.15455,             0.22921,              0.1151,            0.061696,            0.010533,             0.07046,            0.002014,            0.002014,            0.002014
                 123,            0.028621,            0.017368,            0.011629,             0.72102,             0.11961,             0.21817,             0.10919,            0.060145,            0.010606,              0.0641,            0.001948,            0.001948,            0.001948
                 124,            0.028106,            0.016593,            0.011523,             0.80186,             0.10551,              0.2051,             0.10373,            0.064956,            0.010679,            0.055304,            0.001882,            0.001882,            0.001882
                 125,            0.028247,            0.016474,            0.010585,             0.81048,             0.10551,             0.21059,            0.095701,            0.061347,            0.010723,            0.059795,            0.001816,            0.001816,            0.001816
                 126,            0.027235,            0.016695,            0.011429,             0.81274,             0.10551,             0.20383,             0.11354,            0.062016,            0.010453,            0.065774,             0.00175,             0.00175,             0.00175
                 127,            0.028338,            0.015707,            0.011587,              0.7503,              0.1023,             0.20629,             0.11236,            0.062434,            0.010377,            0.075414,            0.001684,            0.001684,            0.001684
                 128,            0.027413,             0.01586,            0.010502,             0.66215,             0.11028,             0.20034,             0.10532,            0.062894,            0.010394,            0.077886,            0.001618,            0.001618,            0.001618
                 129,            0.027316,            0.015445,             0.01057,                0.56,             0.13142,             0.20932,            0.096309,            0.060941,             0.01032,            0.074189,            0.001552,            0.001552,            0.001552
                 130,            0.027706,            0.015863,            0.010114,             0.63193,             0.11539,             0.22575,             0.11318,            0.062769,            0.010194,            0.071011,            0.001486,            0.001486,            0.001486
                 131,            0.027639,            0.016688,           0.0099761,             0.62669,             0.17038,             0.23314,             0.11911,            0.061626,            0.010229,            0.071191,             0.00142,             0.00142,             0.00142
                 132,            0.027535,            0.015969,            0.010965,              0.6467,             0.16963,             0.23823,             0.11582,            0.059927,            0.010189,            0.072376,            0.001354,            0.001354,            0.001354
                 133,            0.026847,            0.016213,            0.010007,              0.5928,             0.17882,             0.23466,             0.11762,            0.061757,            0.010176,            0.073334,            0.001288,            0.001288,            0.001288
                 134,            0.027585,            0.016164,            0.010374,             0.43523,             0.23552,             0.23103,             0.11987,            0.062332,            0.010344,            0.073087,            0.001222,            0.001222,            0.001222
